deal_id,stage,date,amount
D1,lead,2026-01-02,30000
D1,qualified,2026-01-10,30000
D1,proposal,2026-01-20,30000
D1,won,2026-02-01,30000
D2,lead,2026-01-05,50000
D2,qualified,2026-01-15,50000
D2,proposal,2026-01-28,50000
D2,won,2026-02-10,50000
D3,lead,2026-01-08,20000
D3,qualified,2026-01-18,20000
D3,proposal,2026-02-02,20000
D4,lead,2026-01-12,40000
D4,qualified,2026-01-25,40000
D4,lost,2026-02-05,40000
D5,lead,2026-02-01,15000
D5,qualified,2026-02-12,15000
D6,lead,2026-02-15,25000
