deal_id,stage,date,amount
ACME-2201,discovery,2026-01-06,24000
ACME-2201,demo,2026-01-13,24000
ACME-2201,pilot,2026-01-27,24000
ACME-2201,procurement,2026-02-17,24000
ACME-2201,closed_won,2026-03-03,24000
BYTE-2202,discovery,2026-01-08,36000
BYTE-2202,demo,2026-01-19,36000
BYTE-2202,pilot,2026-02-09,36000
BYTE-2202,procurement,2026-03-02,36000
BYTE-2202,closed_won,2026-03-30,36000
CIRR-2203,discovery,2026-01-12,18000
CIRR-2203,demo,2026-01-22,18000
CIRR-2203,pilot,2026-02-12,18000
CIRR-2203,closed_lost,2026-02-26,18000
DELT-2204,discovery,2026-01-15,60000
DELT-2204,demo,2026-01-29,60000
DELT-2204,closed_lost,2026-02-16,60000
ECHO-2205,discovery,2026-02-02,12000
ECHO-2205,demo,2026-02-16,12000
ECHO-2205,pilot,2026-03-09,12000
ECHO-2205,procurement,2026-03-30,12000
FOXT-2206,discovery,2026-02-09,48000
FOXT-2206,demo,2026-02-23,48000
FOXT-2206,pilot,2026-03-16,48000
GULF-2207,discovery,2026-02-18,30000
GULF-2207,demo,2026-03-04,30000
HOTL-2208,discovery,2026-03-02,21000
INDI-2209,discovery,2026-03-09,15000
INDI-2209,demo,2026-03-20,15000
JULI-2210,discovery,2026-03-16,90000
