deal_id,stage,date,amount
ENT-5001,sourced,2025-09-04,250000
ENT-5001,discovery,2025-09-25,250000
ENT-5001,solution_review,2025-10-23,250000
ENT-5001,business_case,2025-11-20,250000
ENT-5001,contracting,2025-12-18,250000
ENT-5001,won,2026-01-15,250000
ENT-5002,sourced,2025-09-11,180000
ENT-5002,discovery,2025-10-09,180000
ENT-5002,solution_review,2025-11-06,180000
ENT-5002,business_case,2025-12-04,180000
ENT-5002,lost_no_decision,2026-01-29,180000
ENT-5003,sourced,2025-10-02,420000
ENT-5003,discovery,2025-10-30,420000
ENT-5003,solution_review,2025-12-11,420000
ENT-5003,business_case,2026-01-22,420000
ENT-5003,contracting,2026-02-26,420000
ENT-5004,sourced,2025-10-16,95000
ENT-5004,discovery,2025-11-13,95000
ENT-5004,solution_review,2025-12-18,95000
ENT-5004,lost_competitor,2026-02-05,95000
ENT-5005,sourced,2025-11-06,310000
ENT-5005,discovery,2025-12-04,310000
ENT-5005,solution_review,2026-01-15,310000
ENT-5005,business_case,2026-02-19,310000
ENT-5006,sourced,2025-11-20,140000
ENT-5006,discovery,2026-01-08,140000
ENT-5006,solution_review,2026-02-12,140000
ENT-5007,sourced,2026-01-08,500000
ENT-5007,discovery,2026-02-05,500000
ENT-5008,sourced,2026-02-12,220000
