deal_id,stage,date,amount
T-9001,signup,2026-05-01,490
T-9001,activated,2026-05-02,490
T-9001,sales_qualified,2026-05-05,490
T-9001,paid,2026-05-09,490
T-9002,signup,2026-05-01,290
T-9002,activated,2026-05-03,290
T-9002,churned_trial,2026-05-15,290
T-9003,signup,2026-05-02,990
T-9003,activated,2026-05-02,990
T-9003,sales_qualified,2026-05-04,990
T-9003,paid,2026-05-07,990
T-9004,signup,2026-05-03,490
T-9004,activated,2026-05-06,490
T-9004,sales_qualified,2026-05-10,490
T-9005,signup,2026-05-04,290
T-9005,churned_trial,2026-05-19,290
T-9006,signup,2026-05-05,1490
T-9006,activated,2026-05-05,1490
T-9006,sales_qualified,2026-05-08,1490
T-9006,paid,2026-05-12,1490
T-9007,signup,2026-05-06,490
T-9007,activated,2026-05-09,490
T-9008,signup,2026-05-07,290
T-9008,activated,2026-05-08,290
T-9008,sales_qualified,2026-05-11,290
T-9009,signup,2026-05-08,990
T-9009,activated,2026-05-10,990
T-9009,sales_qualified,2026-05-13,990
T-9009,paid,2026-05-18,990
T-9010,signup,2026-05-09,490
T-9011,signup,2026-05-10,290
T-9011,activated,2026-05-12,290
T-9012,signup,2026-05-11,790
T-9012,activated,2026-05-11,790
T-9012,churned_trial,2026-05-22,790
