deal_id,stage,date,amount
REN-301,identified,2025-11-03,72000
REN-301,engaged,2025-11-24,72000
REN-301,negotiation,2025-12-15,72000
REN-302,identified,2025-10-06,54000
REN-302,engaged,2025-10-20,54000
REN-302,negotiation,2025-11-10,54000
REN-302,renewed,2025-12-08,54000
REN-303,identified,2025-09-15,110000
REN-303,engaged,2025-10-13,110000
REN-304,identified,2026-01-12,38000
REN-304,engaged,2026-02-02,38000
REN-304,negotiation,2026-02-23,38000
REN-304,renewed,2026-03-16,38000
REN-305,identified,2025-12-01,95000
REN-305,engaged,2025-12-22,95000
REN-305,lost,2026-02-09,95000
REN-306,identified,2026-02-16,42000
REN-307,identified,2026-03-02,66000
REN-307,engaged,2026-03-23,66000
REN-307,negotiation,2026-04-13,66000
