deal_id,stage,date,amount
CH-7001,registered,2026-02-03,28000
CH-7001,qualified,2026-02-17,28000
CH-7001,proposal,2026-03-10,28000
CH-7001,closed_won,2026-03-31,28000
CH-7002,registered,2026-02-10,52000
CH-7002,qualified,2026-02-24,52000
CH-7002,proposal,2026-03-17,52000
CH-7003,registered,2026-02-17,19000
CH-7003,qualified,2026-03-03,19000
CH-7003,closed_lost,2026-03-24,19000
CH-7004,registered,2026-03-02,41000
CH-7004,qualified,2026-03-16,41000
CH-7004,proposal,2026-04-06,41000
CH-7005,registered,2026-03-09,33000
CH-7005,qualified,2026-03-23,33000
CH-7005,proposal,2026-04-13,33000
CH-7005,closed_won,2026-05-04,33000
CH-7006,registered,2026-03-16,76000
CH-7006,qualified,2026-04-06,76000
CH-7007,registered,2026-04-06,22000
