deal_id,stage,date,amount
BIG-001,prospect,2026-01-02,120000
BIG-002,prospect,2026-01-06,12000
BIG-002,qualify,2026-01-13,12000
BIG-003,prospect,2026-01-04,120000
BIG-003,qualify,2026-01-26,120000
BIG-003,demo,2026-02-12,120000
BIG-003,proposal,2026-02-17,120000
BIG-003,negotiate,2026-02-21,120000
BIG-004,prospect,2026-01-18,12000
BIG-004,qualify,2026-02-10,12000
BIG-005,prospect,2026-01-22,75000
BIG-005,qualify,2026-02-12,75000
BIG-006,prospect,2026-01-20,12000
BIG-006,qualify,2026-02-01,12000
BIG-006,demo,2026-02-05,12000
BIG-006,proposal,2026-02-14,12000
BIG-007,prospect,2026-01-06,25000
BIG-007,qualify,2026-01-16,25000
BIG-007,demo,2026-01-30,25000
BIG-008,prospect,2026-01-05,5000
BIG-008,qualify,2026-01-20,5000
BIG-008,demo,2026-02-04,5000
BIG-008,proposal,2026-02-27,5000
BIG-009,prospect,2026-01-16,5000
BIG-009,qualify,2026-02-06,5000
BIG-009,demo,2026-02-13,5000
BIG-009,proposal,2026-03-01,5000
BIG-009,negotiate,2026-03-07,5000
BIG-009,won,2026-03-28,5000
BIG-010,prospect,2026-01-13,120000
BIG-010,qualify,2026-02-04,120000
BIG-010,demo,2026-02-14,120000
BIG-010,proposal,2026-02-20,120000
BIG-010,negotiate,2026-02-25,120000
BIG-011,prospect,2026-01-04,12000
BIG-011,qualify,2026-01-15,12000
BIG-011,demo,2026-01-22,12000
BIG-012,prospect,2026-01-22,25000
BIG-012,qualify,2026-02-06,25000
BIG-012,demo,2026-02-15,25000
BIG-012,proposal,2026-03-02,25000
BIG-013,prospect,2026-01-10,12000
BIG-013,qualify,2026-02-04,12000
BIG-013,demo,2026-02-28,12000
BIG-013,proposal,2026-03-06,12000
BIG-013,negotiate,2026-03-29,12000
BIG-013,won,2026-04-22,12000
BIG-014,prospect,2026-01-07,120000
BIG-014,qualify,2026-01-25,120000
BIG-015,prospect,2026-01-19,25000
BIG-015,qualify,2026-01-30,25000
BIG-015,demo,2026-02-24,25000
BIG-015,proposal,2026-03-10,25000
BIG-015,negotiate,2026-03-15,25000
BIG-015,lost,2026-03-26,25000
BIG-016,prospect,2026-01-10,25000
BIG-016,qualify,2026-01-16,25000
BIG-016,demo,2026-01-26,25000
BIG-016,proposal,2026-02-17,25000
BIG-017,prospect,2026-01-17,12000
BIG-017,qualify,2026-02-02,12000
BIG-017,demo,2026-02-26,12000
BIG-017,proposal,2026-03-16,12000
BIG-017,negotiate,2026-03-24,12000
BIG-017,won,2026-04-05,12000
BIG-018,prospect,2026-01-19,120000
BIG-018,qualify,2026-01-31,120000
BIG-018,demo,2026-02-22,120000
BIG-018,proposal,2026-03-11,120000
BIG-018,negotiate,2026-04-02,120000
BIG-019,prospect,2026-01-06,25000
BIG-019,qualify,2026-01-26,25000
BIG-020,prospect,2026-01-05,5000
BIG-021,prospect,2026-01-15,120000
BIG-021,qualify,2026-02-07,120000
BIG-022,prospect,2026-01-21,40000
BIG-022,qualify,2026-02-08,40000
BIG-022,demo,2026-02-28,40000
BIG-022,proposal,2026-03-12,40000
BIG-023,prospect,2026-01-05,5000
BIG-023,qualify,2026-01-30,5000
BIG-023,demo,2026-02-20,5000
BIG-023,proposal,2026-03-04,5000
BIG-023,negotiate,2026-03-28,5000
BIG-023,won,2026-04-11,5000
BIG-024,prospect,2026-01-16,40000
BIG-024,qualify,2026-01-20,40000
BIG-025,prospect,2026-01-18,75000
BIG-025,qualify,2026-01-25,75000
BIG-026,prospect,2026-01-18,25000
BIG-026,qualify,2026-02-10,25000
BIG-026,demo,2026-02-20,25000
BIG-026,proposal,2026-02-28,25000
BIG-026,negotiate,2026-03-15,25000
BIG-026,won,2026-03-24,25000
BIG-027,prospect,2026-01-21,75000
BIG-028,prospect,2026-01-05,40000
BIG-029,prospect,2026-01-03,25000
BIG-029,qualify,2026-01-14,25000
BIG-030,prospect,2026-01-17,5000
BIG-031,prospect,2026-01-06,75000
BIG-031,qualify,2026-01-31,75000
BIG-032,prospect,2026-01-10,75000
BIG-032,qualify,2026-01-30,75000
BIG-033,prospect,2026-01-19,40000
BIG-033,qualify,2026-01-29,40000
BIG-034,prospect,2026-01-22,40000
BIG-034,qualify,2026-02-06,40000
BIG-034,demo,2026-02-24,40000
BIG-034,proposal,2026-03-16,40000
BIG-034,negotiate,2026-04-03,40000
BIG-034,won,2026-04-10,40000
BIG-035,prospect,2026-01-02,5000
BIG-035,qualify,2026-01-24,5000
BIG-035,demo,2026-02-14,5000
BIG-036,prospect,2026-01-02,75000
BIG-036,qualify,2026-01-08,75000
BIG-037,prospect,2026-01-04,5000
BIG-037,qualify,2026-01-09,5000
BIG-038,prospect,2026-01-09,5000
BIG-038,qualify,2026-01-21,5000
BIG-038,demo,2026-02-15,5000
BIG-038,proposal,2026-03-06,5000
BIG-038,negotiate,2026-03-16,5000
BIG-039,prospect,2026-01-20,12000
BIG-039,qualify,2026-02-11,12000
BIG-039,demo,2026-03-02,12000
BIG-039,proposal,2026-03-13,12000
BIG-039,negotiate,2026-04-01,12000
BIG-039,won,2026-04-18,12000
BIG-040,prospect,2026-01-15,5000
BIG-040,qualify,2026-01-30,5000
BIG-040,demo,2026-02-16,5000
BIG-040,proposal,2026-03-05,5000
BIG-040,negotiate,2026-03-23,5000
BIG-040,lost,2026-03-28,5000
BIG-041,prospect,2026-01-03,120000
BIG-042,prospect,2026-01-05,120000
BIG-042,qualify,2026-01-16,120000
BIG-042,demo,2026-01-26,120000
BIG-043,prospect,2026-01-06,75000
BIG-043,qualify,2026-01-23,75000
BIG-043,demo,2026-02-01,75000
BIG-043,proposal,2026-02-13,75000
BIG-044,prospect,2026-01-16,12000
BIG-045,prospect,2026-01-22,5000
BIG-046,prospect,2026-01-09,5000
BIG-047,prospect,2026-01-17,40000
BIG-047,qualify,2026-01-27,40000
BIG-047,demo,2026-02-12,40000
BIG-047,proposal,2026-02-17,40000
BIG-048,prospect,2026-01-14,40000
BIG-049,prospect,2026-01-15,40000
BIG-049,qualify,2026-02-05,40000
BIG-049,demo,2026-03-02,40000
BIG-050,prospect,2026-01-11,12000
BIG-050,qualify,2026-01-21,12000
